,Tweet ID,Tweet Text,Created At
25,1.87524E+18,"RT @Lila1Abadie: 🤷🏻‍♀️
#Ukraine 
#UkraineRussiaWar https://t.co/14Br8kdiWP",2025-01-03 18:15:16+00:00
26,1.87524E+18,@Dr_BellaR OF COURSE you support #UkraineRussiaWar 🤦‍♂️💀,2025-01-03 18:10:34+00:00
27,1.87524E+18,"BREAKING: Explosives Planted on Train in Idaho… FBI Investigating 
#Government #canada #usa #FEMA #shtf #WW3 #China #UkraineRussiaWar #Ukraine #Russia #Israel #Iran #NATO #NEWS #BreakingNews‌ #FBI 
https://t.co/kVGuMIUWqm via @YouTube",2025-01-03 18:05:45+00:00
28,1.87524E+18,RT @SportswaveAndre: UPDATE #UkraineRussiaWar - One of many perspectives #UkraineWar - @_Hadebe_101 @IglesiasLamola https://t.co/P1vYhwwdxF,2025-01-03 18:04:27+00:00
29,1.87524E+18,"😡Російські війська у п'ятницю, 3 січня, вдарили по приватному сектору у Слов'янську авіабомбою з модулем УМПК. Постраждали четверо людей, серед них дворічна дитина.

#UkraineRussiaWar

https://t.co/birfYPhN2H",2025-01-03 18:01:06+00:00
30,1.87524E+18,"Personne ne croit en l'OTAN.
#UkraineWarNews #UkraineRussiaWar #Ukraine #Russie #Gazprom #Kiev #Zelensky #Poutine #koursk #OTAN  #oreshnik #Zelenskyy https://t.co/ZEvgemV7cO",2025-01-03 18:00:01+00:00
31,1.87524E+18,"Six systèmes de roquettes à lancement multiple HIMARS ont également été détruits en Ukraine.
#UkraineWarNews #UkraineRussiaWar #Ukraine #Russie #Gazprom #Kiev #Zelensky #Poutine #koursk #OTAN  #oreshnik #Zelenskyy https://t.co/sqJWhr91Lm",2025-01-03 18:00:01+00:00
32,1.87524E+18,"🤷🏻‍♀️
#Ukraine 
#UkraineRussiaWar https://t.co/14Br8kdiWP",2025-01-03 17:59:45+00:00
33,1.87524E+18,RT @ncandthriving: 👄 Teach me #BreedingDifficulty #UkraineRussiaWar #bbwvideos #bbwbaddie #bbwbigass #BBWTexas #bbwwinning #onlyfans #onlyf…,2025-01-03 17:55:24+00:00
34,1.87524E+18,RT @UaCoins: ⚡️Ukrainian FPV drone pursues Russian motorcycle thieves 🛴💥#RussialsATerroristState #RussiaUkraineWar #UkraineRussiaWar #Russi…,2025-01-03 17:47:12+00:00
35,1.87524E+18,"RT @nexus_osint: 🇺🇦🇷🇺Point de Situation - 02.01.25 #UkraineRussiaWar 

1/ Confirmation visuelle de la présence de Positions Russes attaquée…",2025-01-03 17:47:03+00:00
36,1.87524E+18,RT @UaCoins: 🔴Demilitarization of Russian Nazis in Kursk Region Continues Without Stopping💥#RussialsATerroristState #RussiaUkraineWar #Ukra…,2025-01-03 17:43:51+00:00
37,1.87524E+18,"RT @THEENDGAMEWAR1: HISTORYLEGENDS

Why Are So Many Ukrainian Soldiers DESERTING?

https://t.co/JCQrtl6GZL

#UKRAINEWAR #RUSSIAUKRAINEWAR #…",2025-01-03 17:42:53+00:00
38,1.87524E+18,"🅾️Merkez grup, Ukrayna Silahlı Kuvvetlerinin piyade ve teçhizatını büyük ölçüde yok etmeye devam ederek Pokrovsk'a doğru ilerliyor 
#UkraineRussiaWar 
#Rusya #Russia https://t.co/Q8gpEBY8nT",2025-01-03 17:41:08+00:00
39,1.87523E+18,"Tiraspol (Transnistria, Moldavia) ha iniziato a spegnere l'elettricità secondo il programma.
Ora, i residenti  potranno sperimentare tutta la bellezza ""del mondo russo"" che tanto desiderano...a letto con le galline
#RussialsATerroristState #UkraineRussiaWar #Kursk #Kiev #Crimea https://t.co/Bgpg2gWox7",2025-01-03 17:31:49+00:00
40,1.87523E+18,"Ucraina, i russi fanno Autogoal - Nuovi droni in FO (Fibra ottica) Ucrai... https://t.co/gNIpQTj3S3 via @YouTube  #UkraineRussiaWar #drones https://t.co/k5nOqIwcI8",2025-01-03 17:29:20+00:00
41,1.87523E+18,"Czy można wierzyć politykom? Z ich przyczyny mieliśmy i mamy: #NordStream, #COVID19, #inflacja, #UkraineRussiaWar, #Ukrainians, #Smolensk #IsraeliEthnicCleansingofGaza. 
@Republika @PolsatNewsPL
@tvp_info https://t.co/J9O7BCuGa9",2025-01-03 17:28:14+00:00
42,1.87523E+18,"#UkraineRussiaWar 
Ruska mačka na tajnom zadatku.
U Kurskoj oblasti i mačke de bore ptotiv ukronacista.💪🐱
A Russian undercover cat shoots down a Ukrainian drone https://t.co/5EG38aDMbY",2025-01-03 17:28:00+00:00
43,1.87523E+18,"RT @HerrDr8: @Gerashchenko_en #1pageAssessUkrWar #RussianEconomy #RubleTPfx #SuckerBetRussianInvestors #UkraineRussiaWar #Ukraine 

Inflati…",2025-01-03 17:27:59+00:00
44,1.87523E+18,"Czy można wierzyć politykom? Z ich przyczyny mieliśmy i mamy: #NordStream, #COVID19, #inflacja, #UkraineRussiaWar, #Ukrainians, #Smolensk #IsraeliEthnicCleansingofGaza. 
@Republika @PolsatNewsPL
@tvp_info https://t.co/c89S0Fyo38",2025-01-03 17:25:48+00:00
45,1.87523E+18,"#UkraineRussiaWar #Dnipropetrovsk #Donbass #Nato #Ukraine #Russia 

Around Pokrovsk 

https://t.co/6OTIBuro9u",2025-01-03 17:23:36+00:00
46,1.87523E+18,"HISTORYLEGENDS

Why Are So Many Ukrainian Soldiers DESERTING?

https://t.co/JCQrtl6GZL

#UKRAINEWAR #RUSSIAUKRAINEWAR #UKRAINERUSSIAWAR #RUSSIANUKRAINIANWAR #RUSSIA #UKRAINE #RUSSIAN #DONBASS #WARFARE #WAR #KIEV #KYIV #MOSCOW #RUSSIANMILITARY #RUSSIANARMY #GEOPOLITICS #SMO #Z",2025-01-03 17:22:38+00:00
47,1.87523E+18,"#Sudzha #Kursk #UkraineRussiaWar #Russia #Ukraine #Nato

Only 3 kilometers from Sudzha 

https://t.co/0KKtk7N8Kp",2025-01-03 17:21:23+00:00
48,1.87523E+18,"@LBC - Simon Marks discussing negotiations with Russia. Putin doesn’t negotiate he only demands what he wants, prior to achieving his strategic aims. #UkraineRussiaWar 
We have tried to warn against negotiating with Putin since February 2022. https://t.co/lkVgKK8oHn",2025-01-03 17:21:17+00:00
49,1.87523E+18,"RT @Ckant72: Ukraine's drone attack on Russia, 9/11 like attack in Kazan, Russia.

#DroneAttack #Kazan
#UkraineRussiaWar 
https://t.co/79j9…",2025-01-03 17:20:31+00:00
